DATE,WILLMIDCAP
2002-10-21,22885.59
2002-10-22,22529.04
2002-10-23,22787.22
2002-10-24,22567.73
2002-10-25,22912.81
2002-10-28,22660.78
2002-10-29,22407.88
2002-10-30,22643.73
2002-10-31,22666.96
2002-11-01,23103.93
2002-11-04,23241.56
2002-11-05,23222.22
2002-11-06,23569.74
2002-11-07,23049.90
2002-11-08,22710.75
2002-11-11,22258.20
2002-11-12,22500.73
2002-11-13,22539.91
2002-11-14,23119.51
2002-11-15,23328.68
2002-11-18,23207.17
2002-11-19,22984.28
2002-11-20,23406.17
2002-11-21,23969.26
2002-11-22,23997.07
2002-11-25,24147.90
2002-11-26,23717.19
2002-11-27,24361.98
2002-11-28,.
2002-11-29,24376.02
2002-12-02,24404.19
2002-12-03,23973.70
2002-12-04,23850.15
2002-12-05,23706.57
2002-12-06,23825.61
2002-12-09,23282.64
2002-12-10,23588.36
2002-12-11,23675.03
2002-12-12,23732.09
2002-12-13,23427.43
2002-12-16,23892.62
2002-12-17,23696.26
2002-12-18,23395.41
2002-12-19,23242.40
2002-12-20,23487.14
2002-12-23,23567.93
2002-12-24,23451.57
2002-12-25,.
2002-12-26,23512.26
2002-12-27,23207.93
2002-12-30,23237.24
2002-12-31,23402.27
2003-01-01,.
2003-01-02,24012.75
2003-01-03,23929.64
2003-01-06,24341.84
2003-01-07,24179.97
2003-01-08,23860.61
2003-01-09,24236.83
2003-01-10,24267.19
2003-01-13,24181.60
2003-01-14,24250.89
2003-01-15,24072.13
2003-01-16,23989.98
2003-01-17,23667.08
2003-01-20,.
2003-01-21,23328.70
2003-01-22,23148.12
2003-01-23,23350.50
2003-01-24,22858.16
2003-01-27,22473.29
2003-01-28,22694.39
2003-01-29,22817.89
2003-01-30,22479.89
2003-01-31,22756.18
2003-02-03,22733.54
2003-02-04,22504.88
2003-02-05,22429.86
2003-02-06,22262.01
2003-02-07,22053.17
2003-02-10,22236.77
2003-02-11,22121.75
2003-02-12,21789.85
2003-02-13,21685.90
2003-02-14,21903.58
2003-02-17,.
2003-02-18,22375.32
2003-02-19,22194.51
2003-02-20,22134.05
2003-02-21,22436.63
2003-02-24,22053.04
2003-02-25,22191.64
2003-02-26,21972.27
2003-02-27,22199.12
2003-02-28,22330.78
2003-03-03,22229.46
2003-03-04,21920.92
2003-03-05,21957.57
2003-03-06,21839.46
2003-03-07,21969.43
2003-03-10,21525.59
2003-03-11,21300.63
2003-03-12,21231.47
2003-03-13,21860.10
2003-03-14,21876.60
2003-03-17,22509.23
2003-03-18,22672.69
2003-03-19,22715.93
2003-03-20,22892.87
2003-03-21,23372.65
2003-03-24,22656.73
2003-03-25,22889.33
2003-03-26,22788.50
2003-03-27,22759.55
2003-03-28,22754.86
2003-03-31,22543.96
2003-04-01,22700.10
2003-04-02,23218.19
2003-04-03,23094.41
2003-04-04,23019.47
2003-04-07,23120.85
2003-04-08,22959.53
2003-04-09,22764.21
2003-04-10,22861.11
2003-04-11,22845.25
2003-04-14,23207.67
2003-04-15,23356.93
2003-04-16,23129.43
2003-04-17,23434.26
2003-04-18,.
2003-04-21,23499.97
2003-04-22,23908.70
2003-04-23,24100.45
2003-04-24,23905.79
2003-04-25,23638.55
2003-04-28,24032.94
2003-04-29,24169.81
2003-04-30,24240.16
2003-05-01,24168.05
2003-05-02,24590.48
2003-05-05,24701.50
2003-05-06,24852.46
2003-05-07,24736.57
2003-05-08,24539.46
2003-05-09,24874.54
2003-05-12,25195.17
2003-05-13,25175.16
2003-05-14,25156.40
2003-05-15,25300.58
2003-05-16,25331.30
2003-05-19,24784.79
2003-05-20,24750.46
2003-05-21,24901.08
2003-05-22,25143.08
2003-05-23,25311.46
2003-05-26,.
2003-05-27,25801.85
2003-05-28,25872.57
2003-05-29,25815.28
2003-05-30,26313.46
2003-06-02,26474.92
2003-06-03,26436.49
2003-06-04,26846.03
2003-06-05,27067.54
2003-06-06,26931.72
2003-06-09,26503.52
2003-06-10,26743.28
2003-06-11,27117.54
2003-06-12,27187.82
2003-06-13,26853.79
2003-06-16,27330.05
2003-06-17,27319.48
2003-06-18,27264.16
2003-06-19,26949.83
2003-06-20,26865.90
2003-06-23,26417.32
2003-06-24,26459.09
2003-06-25,26515.32
2003-06-26,26802.73
2003-06-27,26710.17
2003-06-30,26660.86
2003-07-01,26785.56
2003-07-02,27177.50
2003-07-03,27090.07
2003-07-04,.
2003-07-07,27555.91
2003-07-08,27817.00
2003-07-09,27851.86
2003-07-10,27430.90
2003-07-11,27640.21
2003-07-14,27932.07
2003-07-15,27796.00
2003-07-16,27603.55
2003-07-17,27160.15
2003-07-18,27424.12
2003-07-21,27118.94
2003-07-22,27379.16
2003-07-23,27417.90
2003-07-24,27338.52
2003-07-25,27536.64
2003-07-28,27658.89
2003-07-29,27579.75
2003-07-30,27586.76
2003-07-31,27643.49
2003-08-01,27388.31
2003-08-04,27307.86
2003-08-05,26957.62
2003-08-06,26856.00
2003-08-07,26912.14
2003-08-08,26980.94
2003-08-11,27100.93
2003-08-12,27400.92
2003-08-13,27419.03
2003-08-14,27564.09
2003-08-15,27673.55
2003-08-18,28007.75
2003-08-19,28257.81
2003-08-20,28312.25
2003-08-21,28581.81
2003-08-22,28282.25
2003-08-25,28131.23
2003-08-26,28171.33
2003-08-27,28342.77
2003-08-28,28659.93
2003-08-29,28869.44
2003-09-01,.
2003-09-02,29186.52
2003-09-03,29349.90
2003-09-04,29418.13
2003-09-05,29269.39
2003-09-08,29547.64
2003-09-09,29285.62
